Row	Gene ID	Gene Name	Score(d)	Numerator(r)	Denominator(s+s0)	Fold Change	q-value(%)
79	6080	9891	9891	-2.27172392663621	-0.4716	0.207595647723933	0.721164357230201	0
80	4362	6424	6424	-2.2507353045601	-0.9364	0.416041814469613	0.522535152509357	0.350516003524352
81	886	149628	149628	-2.24270816230076	-0.7324	0.326569462898214	0.601901784868665	0.350516003524352
82	1097	1880	1880	-2.2425864359995	-0.7026	0.313298960843334	0.614463832156454	0.350516003524352
83	2559	3838	3838	-2.23466103612739	-0.6818	0.305102200726399	0.623387010937468	0.350516003524352
84	1431	23075	23075	-2.23103875083005	-0.694	0.31106586550404	0.618137630460476	0.350516003524352
85	797	140862	140862	-2.22894670746338	-1.0406	0.466857281295989	0.486125257848326	0.350516003524352
86	788	1407	1407	-2.22618299311766	-0.7994	0.359089977091451	0.574588092283831	0.350516003524352
87	818	1439	1439	-2.22511949971272	-0.8166	0.366991525671061	0.567778450864739	0.350516003524352
88	4116	58527	58527	-2.22394162795602	-0.9512	0.427709067559579	0.517202086355811	0.350516003524352
89	493	11326	11326	-2.22016199552338	-0.8392	0.377990435694386	0.558953432712476	0.350516003524352
90	1691	253461	253461	-2.21758509960415	-0.7852	0.354078858186846	0.580271508903667	0.350516003524352
91	3944	57122	57122	-2.21035874739499	-0.5152	0.233084335566427	0.699695927621971	0.350516003524352
92	6005	9697	9697	-2.20263005451737	-0.8028	0.364473370529717	0.573235554677893	0.350516003524352
93	5533	8644	8644	-2.19998265782203	-1.0118	0.459912716312808	0.495927110699682	0.350516003524352
94	4105	58475	58475	-2.19264241908647	-0.4694	0.214079594517545	0.722264916841758	0.350516003524352
95	4123	5867	5867	-2.19103230939273	-0.493	0.225008092252479	0.71054602159068	0.350516003524352
96	2272	308	308	-2.18930772579158	-0.991	0.452654502756887	0.503128911748891	0.350516003524352
97	4771	719	719	-2.18770783761343	-0.7068	0.323077875321344	0.612677595214897	0.350516003524352
98	904	151613	151613	-2.17926083199754	-0.63076	0.289437588534016	0.645836104489182	0.350516003524352
99	5737	9114	9114	-2.1773484466923	-0.7812	0.358785017247355	0.58188259555336	0.350516003524352
100	2967	493856	493856	-2.17619500872591	-0.7422	0.341053994253269	0.597827016221089	0.350516003524352
101	5575	8754	8754	-2.17241519669588	-0.674	0.310253767799597	0.626766510220345	0.350516003524352
102	4636	6817	6817	-2.17236249856694	-0.6228	0.28669248360292	0.649409322373183	0.350516003524352
103	543	115209	115209	-2.15646838010986	-0.5566	0.258107192822203	0.67990260385205	0.350516003524352
104	5201	81606	81606	-2.15519969828627	-0.5502	0.255289568032836	0.682925448244826	0.350516003524352
105	2781	4332	4332	-2.15502384974899	-0.7722	0.358325500708469	0.585523914132764	0.350516003524352
106	3207	51520	51520	-2.14955219109986	-0.5305	0.246795589423935	0.692314754462512	0.350516003524352
107	1378	22928	22928	-2.14149225846361	-0.692	0.323139155542158	0.618995145418723	0.350516003524352
108	2175	2923	2923	-2.13799811464129	-0.8574	0.401029352705417	0.551946370336674	0.350516003524352
109	4699	7025	7025	-2.13580204339172	-0.6852	0.320816248921591	0.621919604308843	0.350516003524352
110	5042	7980	7980	-2.13553356238574	-0.8294	0.388380690712922	0.562763240334534	0.350516003524352
111	1990	27249	27249	-2.13020418111499	-0.7008	0.328982548345758	0.615230955584505	0.350516003524352
112	3487	5480	5480	-2.12400490495149	-0.732	0.344631972503245	0.602068690615708	0.350516003524352
113	2975	4953	4953	-2.12399823383829	-0.8288	0.390207480776605	0.562997335661931	0.350516003524352
114	4396	644116	644116	-2.11991190438542	-0.4678	0.220669547178951	0.723066378609544	0.350516003524352
115	2854	466	466	-2.11799968078351	-0.5832	0.275354149149001	0.667481612634212	0.350516003524352
116	1979	2720	2720	-2.11720755362354	-0.4404	0.208009837885883	0.736930259865346	0.350516003524352
117	3813	55972	55972	-2.11500694045837	-0.6318	0.298722423985557	0.645370706401882	0.56263083827514
118	2500	3688	3688	-2.11443043434061	-1.244	0.588338107414703	0.422200443711891	0.56263083827514
119	2982	5019	5019	-2.1051893294436	-0.916	0.435115258845672	0.529976391698641	0.56263083827514
120	1401	23022	23022	-2.10245473761389	-0.9552	0.454326070811909	0.515770083778507	0.56263083827514
121	1218	2113	2113	-2.09337829087469	-0.8314	0.397157075538702	0.561983625340604	0.56263083827514
122	327	10857	10857	-2.09165132394244	-1.0322	0.493485691513088	0.488963947228685	0.56263083827514
123	3077	51107	51107	-2.08327900572114	-0.4636	0.222533803070473	0.725174449619089	0.56263083827514
124	3568	55041	55041	-2.08234028317394	-0.6394	0.307058363691363	0.641979885198178	0.56263083827514
125	407	11082	11082	-2.07795652320426	-0.523	0.251689577794208	0.695923195915551	0.56263083827514
126	6003	9693	9693	-2.0743537015566	-0.6914	0.33330863462734	0.619252631801696	0.56263083827514
127	5883	9403	9403	-2.07117908420152	-0.7156	0.345503682157875	0.608951823223583	0.56263083827514
128	4859	7503	7503	-2.07034423324614	-0.9182	0.443501126650969	0.529168833975454	0.56263083827514
129	1769	25878	25878	-2.06815332073967	-0.68	0.328795739262116	0.624165274450806	0.56263083827514
130	926	153129	153129	-2.06796744513556	-0.6192	0.299424442805679	0.651031836352057	0.56263083827514
131	4357	64222	64222	-2.06490244778177	-0.6986	0.338321067298105	0.616169851599967	0.56263083827514
132	3655	55299	55299	-2.05994116969754	-0.573	0.278163283703939	0.672217497076313	0.56263083827514
133	1690	2534	2534	-2.05607072406443	-0.5098	0.24794866929102	0.702319793317595	0.56263083827514
134	1094	1871	1871	-2.04425698010418	-0.5616	0.27472084256813	0.677550319540074	0.56263083827514
