Row	Gene ID	Gene Name	Score(d)	Numerator(r)	Denominator(s+s0)	Fold Change	q-value(%)
100	408	11083	11083	2.14981707078104	0.4292	0.199644893434616	1.3464867190335	0.56263083827514
101	4230	6158	6158	2.14692504310481	0.607	0.282729945299896	1.52308873970326	0.56263083827514
102	403	11070	11070	2.14133134456165	0.4578	0.213792228448286	1.3734458202119	0.56263083827514
103	2436	35	35	2.14016915337988	0.5538	0.25876459303481	1.4679471212462	0.56263083827514
104	5049	7982	7982	2.13867602968275	0.4675	0.218593182656724	1.38271133472879	0.56263083827514
105	4917	780	780	2.13669516135377	0.5952	0.278561027686744	1.51068199604052	0.56263083827514
106	451	11224	11224	2.12902996059878	0.692	0.325030653775007	1.61552155521922	0.56263083827514
107	2369	3375	3375	2.11281275535114	0.4874	0.230687740201094	1.40191608887509	0.56263083827514
108	5242	8241	8241	2.10095097340704	0.5654	0.269116227440144	1.47979773942858	0.56263083827514
109	2557	3835	3835	2.10052807930012	0.4302	0.20480564113351	1.34742035604301	0.56263083827514
110	2486	3662	3662	2.09421565050754	0.5698	0.272082772307574	1.48431778622778	0.888766002156662
111	6020	9739	9739	2.09309798726487	0.4356	0.208112569335187	1.35247319386904	0.888766002156662
112	2004	27314	27314	2.09182109101176	0.862	0.412081130505798	1.81755623289704	0.888766002156662
113	4106	58477	58477	2.09139458206426	0.6184	0.295687865553149	1.53517167696794	0.888766002156662
114	4231	6159	6159	2.08238010537931	0.5842	0.280544362909954	1.49920742162971	0.888766002156662
115	2897	4738	4738	2.0797557015602	0.5048	0.2427208155368	1.41892663756555	0.888766002156662
116	1935	2690	2690	2.07167573991874	0.5122	0.247239464232028	1.42622342020862	0.888766002156662
117	5750	9141	9141	2.07036903816517	0.5086	0.245656687587802	1.42266895895639	0.888766002156662
118	1941	2701	2701	2.06392731436297	0.5338	0.258633139008947	1.44773745943988	0.888766002156662
119	5529	8625	8625	2.06327718440954	0.5086	0.246501053684432	1.42266895895639	0.888766002156662
120	3442	54522	54522	2.05958505947249	0.4942	0.239951245386572	1.4085394784116	0.888766002156662
121	133	10320	10320	2.05208082079011	0.553	0.269482563453362	1.46713334416732	0.888766002156662
122	5654	89796	89796	2.0466016814532	0.5072	0.247825458464326	1.42128906202596	0.888766002156662
123	3121	51248	51248	2.04388907905072	0.5012	0.245218786644127	1.41539036149441	0.888766002156662
124	2122	287	287	2.04049587201788	0.6842	0.335310651387588	1.60681072934019	0.888766002156662
125	6053	9828	9828	2.0395093561336	0.4746	0.232703026623875	1.38953290610251	0.888766002156662
126	2341	326625	326625	2.03807647889304	0.503	0.246801337049529	1.41715739650822	0.888766002156662
127	6026	9765	9765	2.03193811925468	0.428	0.210636335794021	1.34536720852183	0.888766002156662
128	5924	9520	9520	2.02909372067009	0.5386	0.265438700299231	1.4525622579617	0.888766002156662
129	883	149345	149345	2.02474835690339	0.4514	0.222941284758153	1.36736651388779	0.888766002156662
130	4182	5986	5986	2.01874830171187	0.474	0.23479895913624	1.38895513576511	0.888766002156662
131	5724	90864	90864	2.01602860746174	0.5524	0.27400404833317	1.46652330742508	0.888766002156662
132	2918	4795	4795	2.01389435341584	0.4622	0.229505584151446	1.37764101474295	0.888766002156662
133	4558	6631	6631	1.99207336794707	0.5272	0.26464888717593	1.4411295179631	0.888766002156662
134	4193	6038	6038	1.99011455301352	0.61406666668	0.308558452451972	1.53056749543897	1.28522534625596
135	4635	6813	6813	1.98002824831673	0.657	0.331813447893248	1.57680034811256	1.28522534625596
136	83	10204	10204	1.97961887815895	0.457	0.230852516634419	1.37268443125491	1.28522534625596
137	1916	26521	26521	1.97445509897781	0.5174	0.262046982110589	1.43137332596548	1.28522534625596
138	2123	2872	2872	1.9740194743443	0.575	0.291283853818613	1.4896774631227	1.28522534625596
139	939	154141	154141	1.97368644357192	0.3804	0.192735781936852	1.30170271404046	1.28522534625596
140	2537	376497	376497	1.96097957190945	0.5002	0.255076599045315	1.41440962759168	1.28522534625596
141	4624	677809	677809	1.95947180648751	0.5924571429	0.302355533230162	1.50781261039972	1.28522534625596
142	3130	5126	5126	1.95456589257802	0.3984	0.20383042675247	1.31804534084286	1.28522534625596
143	979	1611	1611	1.94515259502542	0.513	0.263732522225741	1.42701450571788	1.28522534625596
144	275	10682	10682	1.93811033345243	0.4792	0.247251145473428	1.39397047063364	1.28522534625596
145	1166	201254	201254	1.93430802957955	0.4092	0.211548519544193	1.3279492384768	1.28522534625596
146	2489	367	367	1.92711550893392	0.446	0.231433973694045	1.36225803464049	1.28522534625596
147	5376	84319	84319	1.92251667104928	0.548	0.285043041889936	1.46205744840003	1.28522534625596
148	636	124460	124460	1.91664482306574	0.3674	0.191689141137966	1.29002587219519	1.28522534625596
149	1045	1727	1727	1.9151891065986	0.7984	0.416877893284371	1.7391712539995	1.28522534625596
150	4261	6230	6230	1.91282148574235	0.6892	0.360305446763909	1.61238917209483	1.28522534625596
151	3197	51490	51490	1.91219930601062	0.394	0.206045467520848	1.31403162714937	1.28522534625596
152	5764	91689	91689	1.90469037995304	0.6076	0.319001978691665	1.52372230623999	1.28522534625596
153	1907	26504	26504	1.8998973591529	0.3854	0.202853063689628	1.30622189849775	2.05719511592269
154	4022	57506	57506	1.89511868116595	0.4273	0.225474005531468	1.34471459061954	2.05719511592269
155	2394	340075	340075	1.89128411918524	0.4316	0.228204739637919	1.34872853554215	2.05719511592269
